measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
26,Life expectancy,158,South Asia,3,Both,14,45 to 49,5,Years,2005,29.10186805347602,29.544983795844896,28.653184635233433
26,Life expectancy,158,South Asia,3,Both,15,50 to 54,5,Years,2005,24.926861345304882,25.339530225776652,24.519285141162413
26,Life expectancy,158,South Asia,3,Both,16,55 to 59,5,Years,2005,20.93072283878629,21.304456202238303,20.559781275183855
26,Life expectancy,158,South Asia,3,Both,17,60 to 64,5,Years,2005,17.17096729964698,17.501739631132303,16.847593735888385
26,Life expectancy,158,South Asia,3,Both,18,65 to 69,5,Years,2005,13.794830646980294,14.074381828730647,13.520498318469466
26,Life expectancy,158,South Asia,3,Both,19,70 to 74,5,Years,2005,10.753040650484506,10.977174796721098,10.53069267001067
26,Life expectancy,158,South Asia,3,Both,20,75 to 79,5,Years,2005,8.13656463746982,8.307724378620888,7.96715054043002
26,Life expectancy,158,South Asia,3,Both,30,80 to 84,5,Years,2005,5.98121417763083,6.1018296068820135,5.86484256382651
26,Life expectancy,158,South Asia,3,Both,31,85 to 89,5,Years,2005,4.39614362020432,4.477547665551397,4.321847601287778
26,Life expectancy,158,South Asia,3,Both,32,90 to 94,5,Years,2005,3.240622556961962,3.2916496635982124,3.1930994909023247
26,Life expectancy,166,Sub-Saharan Africa,3,Both,8,15 to 19,5,Years,2005,48.733294024680596,49.96816218369986,47.40319716253783
26,Life expectancy,166,Sub-Saharan Africa,3,Both,9,20 to 24,5,Years,2005,44.16483333782773,45.37266507267339,42.86101232035545
26,Life expectancy,166,Sub-Saharan Africa,3,Both,10,25 to 29,5,Years,2005,39.809470529323356,40.962316984091736,38.57835705359256
26,Life expectancy,166,Sub-Saharan Africa,3,Both,11,30 to 34,5,Years,2005,35.81075220691868,36.81308416516052,34.75376507288917
26,Life expectancy,166,Sub-Saharan Africa,3,Both,12,35 to 39,5,Years,2005,32.140060763086005,32.994337548503005,31.284973188957824
26,Life expectancy,166,Sub-Saharan Africa,3,Both,13,40 to 44,5,Years,2005,28.686224800928272,29.379463992384338,28.01387725824591
26,Life expectancy,166,Sub-Saharan Africa,3,Both,14,45 to 49,5,Years,2005,25.35651146989578,25.974365226961144,24.733679331060934
